City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,egvekinot,66.3167,-179.1667,20.01,85,100,15.21,RU,1667878711
1,kapaa,22.0752,-159.319,82.38,80,40,17.27,US,1667878712
2,derzhavinsk,51.1,66.3167,24.24,93,77,4.83,KZ,1667878712
3,thompson,55.7435,-97.8558,-11.04,84,0,3.44,CA,1667878712
4,micheweni,-4.9667,39.8333,78.58,83,13,3.74,TZ,1667878713
5,kolo,52.2002,18.6387,44.92,92,90,7.94,PL,1667878713
6,ushuaia,-54.8,-68.3,55.02,54,20,5.75,AR,1667878713
7,yerbogachen,61.2767,108.0108,19.94,91,100,8.72,RU,1667878714
8,banda aceh,5.5577,95.3222,84.04,67,100,7.99,ID,1667878714
9,kavaratti,10.5669,72.642,81.45,73,1,6.04,IN,1667878715
10,barrow,71.2906,-156.7887,26.62,80,100,24.16,US,1667878715
11,nieves,15.3274,120.9485,87.31,64,75,5.5,PH,1667878715
12,gushikawa,26.3544,127.8686,78.03,75,75,14.97,JP,1667878716
13,nizhnevartovsk,60.9344,76.5531,26.62,100,100,8.99,RU,1667878424
14,butaritari,3.0707,172.7902,80.69,73,17,4.16,KI,1667878716
15,svetlopolyansk,59.4184,52.3605,30.42,95,100,8.63,RU,1667878716
16,hithadhoo,-0.6,73.0833,82.65,74,25,17.31,MV,1667878717
17,jamestown,42.097,-79.2353,44.19,73,0,8.05,US,1667878576
18,bambous virieux,-20.3428,57.7575,77.22,73,40,8.05,MU,1667878717
19,vanavara,60.34,102.2797,19.15,87,99,10.16,RU,1667878717
20,clyde river,70.4692,-68.5914,5.23,72,0,5.75,CA,1667878718
21,puerto ayora,-0.7393,-90.3518,66.54,86,90,1.01,EC,1667878601
22,alegrete,-29.7831,-55.7919,54.9,76,0,10.8,BR,1667878718
23,kodiak,57.79,-152.4072,36.91,87,100,13.8,US,1667878719
24,gat,31.61,34.7642,62.78,100,17,9.84,IL,1667878719
25,avarua,-21.2078,-159.775,75.25,69,100,8.05,CK,1667878719
26,high level,58.5169,-117.136,-7.49,84,40,0.0,CA,1667878720
27,busselton,-33.65,115.3333,69.44,54,90,6.15,AU,1667878720
28,tigil,57.8,158.6667,20.35,91,75,7.18,RU,1667878720
29,verkhoyansk,67.5447,133.385,1.15,96,100,2.48,RU,1667878721
30,kudahuvadhoo,2.6708,72.8944,81.03,76,16,10.54,MV,1667878721
31,port hueneme,34.1478,-119.1951,58.51,93,75,5.75,US,1667878722
32,rikitea,-23.1203,-134.9692,74.03,91,100,14.92,PF,1667878722
33,chokurdakh,70.6333,147.9167,-10.89,98,70,11.07,RU,1667878722
34,norman wells,65.282,-126.8329,1.44,85,20,9.22,CA,1667878723
35,santa rosa,14.3122,121.1114,86.09,75,98,10.78,PH,1667878723
36,albany,42.6001,-73.9662,48.56,58,4,1.01,US,1667878575
37,hobart,-42.8794,147.3294,81.27,53,0,5.75,AU,1667878724
38,punta arenas,-53.15,-70.9167,50.11,71,0,14.97,CL,1667878724
39,vaini,-21.2,-175.2,80.76,74,20,8.05,TO,1667878725
40,vila velha,-20.3297,-40.2925,71.94,86,100,3.44,BR,1667878725
41,qaanaaq,77.484,-69.3632,-0.56,98,100,4.05,GL,1667878726
42,bereda,43.2686,-7.5406,56.41,100,99,8.48,ES,1667878726
43,griffith,41.5284,-87.4237,46.26,75,0,11.5,US,1667878726
44,narsaq,60.9167,-46.05,30.42,73,100,7.16,GL,1667878727
45,paita,-5.0892,-81.1144,62.78,87,10,10.13,PE,1667878727
46,nouadhibou,20.931,-17.0347,67.98,73,16,10.36,MR,1667878728
47,bredasdorp,-34.5322,20.0403,56.77,87,73,4.88,ZA,1667878728
48,katsuura,35.1333,140.3,66.52,57,0,9.35,JP,1667878728
49,zhigansk,66.7697,123.3711,-5.84,91,100,7.11,RU,1667878729
50,mataura,-46.1927,168.8643,65.48,51,83,3.33,NZ,1667878729
51,bobcaygeon,44.5462,-78.542,38.88,71,6,8.75,CA,1667878729
52,krasnoselkup,65.7,82.4667,22.71,96,100,8.16,RU,1667878730
53,cherskiy,68.75,161.3,-6.81,99,52,1.59,RU,1667878730
54,saint-philippe,-21.3585,55.7679,76.59,77,18,8.43,RE,1667878731
55,cape town,-33.9258,18.4232,61.12,90,0,4.61,ZA,1667878546
56,lingao,19.9103,109.6859,76.51,80,97,12.86,CN,1667878731
57,yaan,7.3833,8.5667,72.25,48,97,1.86,NG,1667878731
58,assiniboia,49.6334,-105.9845,21.02,86,100,14.97,CA,1667878673
59,severnyy,50.677,36.5532,33.84,93,0,4.47,RU,1667878732
60,bluff,-46.6,168.3333,65.8,75,56,14.29,NZ,1667878733
61,nikolskoye,59.7035,30.7861,39.09,92,100,10.51,RU,1667878733
62,boke,10.9409,-14.2967,75.51,86,91,1.5,GN,1667878733
63,sola,-13.8833,167.55,86.67,74,75,6.91,VU,1667878734
64,san quintin,30.4833,-115.95,63.37,87,2,7.14,MX,1667878734
65,kaitangata,-46.2817,169.8464,59.45,68,98,5.1,NZ,1667878735
66,bathsheba,13.2167,-59.5167,83.01,74,40,18.41,BB,1667878735
67,mount gambier,-37.8333,140.7667,79.66,40,0,1.05,AU,1667878735
68,haines junction,60.7522,-137.5108,-9.45,77,95,2.3,CA,1667878736
69,new norfolk,-42.7826,147.0587,80.91,27,49,3.0,AU,1667878736
70,newport,51.5877,-2.9984,52.77,90,81,21.0,GB,1667878736
71,suoyarvi,62.0833,32.35,37.45,91,100,8.25,RU,1667878737
72,seoul,37.5683,126.9778,62.17,55,0,3.44,KR,1667878505
73,qena,26.1615,32.7183,63.9,43,10,5.21,EG,1667878737
74,bengkulu,-3.8004,102.2655,80.83,74,100,3.53,ID,1667878474
75,victoria,22.2855,114.1577,75.33,84,95,8.99,HK,1667878633
76,khani,41.9563,42.9566,44.17,69,100,5.91,GE,1667878738
77,shimoda,34.6667,138.95,68.36,59,5,5.48,JP,1667878738
78,henties bay,-22.116,14.2845,60.13,93,2,6.87,NA,1667878593
79,port said,31.2565,32.2841,64.38,88,75,13.8,EG,1667878739
80,teluknaga,-6.0989,106.6381,87.98,84,40,3.44,ID,1667878739
81,caravelas,-17.7125,-39.2481,69.64,75,81,4.5,BR,1667878739
82,torbay,47.6666,-52.7314,58.75,95,75,21.85,CA,1667878534
83,ribeira grande,38.5167,-28.7,62.78,72,100,4.0,PT,1667878740
84,kavieng,-2.5744,150.7967,84.47,67,100,5.39,PG,1667878740
85,qui nhon,13.7667,109.2333,79.68,74,100,15.66,VN,1667878741
86,kimbe,-5.5502,150.1429,86.83,67,87,6.33,PG,1667878741
87,tuktoyaktuk,69.4541,-133.0374,1.4,78,0,8.05,CA,1667878742
88,port alfred,-33.5906,26.891,62.19,89,100,3.0,ZA,1667878742
89,castro,-24.7911,-50.0119,47.61,98,7,5.12,BR,1667878742
90,aswan,24.0934,32.907,61.9,39,0,0.0,EG,1667878743
91,roma,43.2128,-75.4557,44.96,68,5,1.99,US,1667878743
92,lebu,-37.6167,-73.65,53.06,86,100,9.26,CL,1667878744
93,oktyabrskoye,43.0645,44.7417,33.35,93,46,2.24,RU,1667878744
94,pevek,69.7008,170.3133,0.01,98,14,3.24,RU,1667878744
95,hermanus,-34.4187,19.2345,59.14,84,72,6.02,ZA,1667878745
96,hilo,19.7297,-155.09,78.53,80,75,4.61,US,1667878745
97,upernavik,72.7868,-56.1549,4.59,87,67,7.14,GL,1667878746
98,srikakulam,18.3,83.9,79.41,66,27,5.14,IN,1667878746
99,torbat-e jam,35.244,60.6225,41.4,82,100,7.92,IR,1667878747
100,taoudenni,22.6783,-3.9836,70.45,21,26,8.79,ML,1667878747
101,east london,-33.0153,27.9116,65.34,88,75,13.8,ZA,1667878747
102,waipawa,-41.4122,175.5153,57.79,69,29,5.84,NZ,1667878748
103,calvia,39.5657,2.5062,60.08,86,5,7.02,ES,1667878748
104,iracoubo,5.4802,-53.2011,76.51,88,100,6.42,GF,1667878749
105,tignere,7.3667,12.65,65.3,55,99,0.49,CM,1667878749
106,port elizabeth,-33.918,25.5701,62.31,91,0,14.97,ZA,1667878749
107,vostok,46.4856,135.8833,34.23,53,70,10.36,RU,1667878750
108,talara,-4.5772,-81.2719,63.61,88,19,14.34,PE,1667878750
109,vao,-22.6667,167.4833,74.32,84,96,14.2,NC,1667878751
110,saldanha,-33.0117,17.9442,60.17,84,82,6.46,ZA,1667878751
111,arraial do cabo,-22.9661,-42.0278,67.17,82,100,5.44,BR,1667878752
112,deputatskiy,69.3,139.9,-6.97,93,100,5.61,RU,1667878752
113,cobija,-11.0267,-68.7692,74.19,49,11,1.77,BO,1667878752
114,bethel,41.3712,-73.414,55.76,46,0,6.91,US,1667878753
115,flinders,-34.5833,150.8552,72.37,62,49,11.81,AU,1667878753
116,cabo san lucas,22.8909,-109.9124,73.51,75,0,8.05,MX,1667878753
117,port hedland,-20.3167,118.5667,82.45,39,0,24.16,AU,1667878754
118,espanola,35.9911,-106.0806,56.71,53,4,1.01,US,1667878754
119,tasiilaq,65.6145,-37.6368,28.74,94,100,2.71,GL,1667878755
120,atuona,-9.8,-139.0333,77.16,72,99,12.93,PF,1667878755
121,nioro,13.35,-15.75,74.43,41,100,7.0,GM,1667878755
122,zemio,5.0314,25.1361,69.94,93,100,2.57,CF,1667878756
123,torfyanoy,58.4916,49.1979,30.87,95,100,9.48,RU,1667878756
124,nosy varika,-20.5833,48.5333,74.23,74,92,6.35,MG,1667878757
125,wolsztyn,52.1155,16.1171,48.92,91,68,7.25,PL,1667878757
126,half moon bay,37.4636,-122.4286,53.83,79,40,14.97,US,1667878757
127,menongue,-14.6585,17.691,61.61,83,100,1.45,AO,1667878758
128,basoko,1.2391,23.616,69.55,97,100,1.54,CD,1667878758
129,kitob,39.0843,66.8332,39.24,97,100,7.09,UZ,1667878758
130,mareeba,-17.0,145.4333,89.44,56,25,8.97,AU,1667878759
131,sitka,57.0531,-135.33,30.09,37,0,5.75,US,1667878529
132,bogotol,56.2078,89.5342,25.02,91,90,5.3,RU,1667878759
133,mount isa,-20.7333,139.5,100.17,14,0,12.66,AU,1667878760
134,iquique,-20.2208,-70.1431,60.84,66,0,1.48,CL,1667878760
135,mayahi,13.9553,7.6712,72.27,18,20,8.81,NE,1667878760
136,raga,8.4596,25.678,71.26,61,92,1.77,SS,1667878761
137,hvolsvollur,63.7533,-20.2243,42.64,85,100,10.16,IS,1667878761
138,katerero,-1.4,31.7333,63.61,78,100,4.18,TZ,1667878761
139,zaliznychne,45.7489,28.6147,41.14,87,51,2.91,UA,1667878762
140,koungou,-12.7336,45.2042,78.51,83,40,6.91,YT,1667878762
141,chuy,-33.6971,-53.4616,57.31,88,10,7.83,UY,1667878762
142,berdigestyakh,62.0989,126.6992,-4.74,90,23,2.24,RU,1667878763
143,dawei,14.0833,98.2,89.92,44,34,3.36,MM,1667878763
144,bambanglipuro,-7.95,110.2833,83.84,72,86,7.47,ID,1667878764
145,aras,42.5617,-2.356,55.83,87,0,1.14,ES,1667878764
146,pandharpur,17.6667,75.3333,78.4,46,69,7.36,IN,1667878764
147,reykjavik,64.1355,-21.8954,44.26,70,100,11.5,IS,1667878765
148,hoshiarpur,31.5322,75.9172,73.63,41,0,3.69,IN,1667878765
149,markova,48.6758,24.4138,45.09,90,57,2.04,UA,1667878766
150,ciudad bolivar,8.1222,-63.5497,78.69,80,83,5.99,VE,1667878668
151,tecoanapa,16.5167,-98.75,79.59,87,31,4.03,MX,1667878766
152,yellowknife,62.456,-114.3525,5.56,85,75,0.0,CA,1667878617
153,mahebourg,-20.4081,57.7,77.25,73,40,8.05,MU,1667878767
154,morondava,-20.2833,44.2833,80.15,73,64,6.51,MG,1667878668
155,souillac,-20.5167,57.5167,75.58,73,40,8.05,MU,1667878767
156,shanghai,31.2222,121.4581,73.26,59,0,8.95,CN,1667878768
157,aberdeen,57.1437,-2.0981,54.5,92,75,29.93,GB,1667878768
158,jiwani,25.05,61.7417,81.01,67,0,6.06,PK,1667878769
159,lavrentiya,65.5833,-171.0,27.79,96,100,20.92,RU,1667878769
160,asau,46.4333,26.4,40.28,87,100,2.82,RO,1667878769
161,slave lake,55.2834,-114.769,4.98,85,100,5.75,CA,1667878770
162,klaksvik,62.2266,-6.589,50.92,95,100,38.27,FO,1667878770
163,saskylakh,71.9167,114.0833,-23.73,98,50,4.36,RU,1667878771
164,norilsk,69.3535,88.2027,-9.58,100,86,4.09,RU,1667878771
165,longyearbyen,78.2186,15.6401,22.84,80,75,13.8,SJ,1667878771
166,carnarvon,-24.8667,113.6333,71.49,52,5,14.03,AU,1667878772
167,selikhino,50.3672,137.4996,34.47,63,46,10.58,RU,1667878772
168,sao joao da barra,-21.6403,-41.0511,68.29,79,96,5.1,BR,1667878773
169,olafsvik,64.8945,-23.7142,41.74,78,100,17.45,IS,1667878773
170,milkovo,54.7167,158.6167,28.81,82,44,1.88,RU,1667878773
171,provideniya,64.3833,-173.3,32.11,86,100,17.9,RU,1667878774
172,sazava,49.8716,14.8967,46.18,90,44,5.77,CZ,1667878774
173,paamiut,61.994,-49.6678,16.7,56,100,8.16,GL,1667878775
174,tiarei,-17.5333,-149.3333,80.62,81,5,7.23,PF,1667878775
175,chimbote,-9.0853,-78.5783,62.94,86,10,6.2,PE,1667878510
176,ahipara,-35.1667,173.1667,62.64,84,96,14.5,NZ,1667878776
177,saint george,37.1041,-113.5841,63.25,40,75,16.11,US,1667878697
178,kholodnyy,62.7167,147.95,-6.81,97,96,0.31,RU,1667878776
179,pisco,-13.7,-76.2167,62.65,82,0,8.05,PE,1667878506
180,monrovia,6.3005,-10.7969,77.25,86,98,2.71,LR,1667878530
181,ixtapa,20.7,-105.2,76.23,78,40,2.3,MX,1667878495
182,puerto escondido,15.85,-97.0667,81.43,61,40,4.61,MX,1667878777
183,vardo,70.3705,31.1107,33.78,93,75,6.91,NO,1667878777
184,mayumba,-3.432,10.6554,76.69,90,50,5.1,GA,1667878778
185,ossora,59.2353,163.0719,28.29,93,100,3.4,RU,1667878778
186,mar del plata,-38.0023,-57.5575,60.94,93,0,14.0,AR,1667878553
187,naze,28.3667,129.4833,74.32,58,5,8.99,JP,1667878779
188,payakumbuh,-0.2202,100.6308,81.19,73,100,0.87,ID,1667878779
189,copiapo,-27.3667,-70.3333,53.29,78,87,2.75,CL,1667878779
190,touros,-5.1989,-35.4608,77.23,76,100,9.19,BR,1667878780
191,mango,27.9797,-82.3065,75.06,87,100,4.61,US,1667878780
192,tura,25.5198,90.2201,76.8,58,1,1.28,IN,1667878780
193,nemuro,43.3236,145.575,51.04,63,53,6.53,JP,1667878781
194,okha,53.5739,142.9478,27.12,62,99,21.0,RU,1667878781
195,kenai,60.5544,-151.2583,26.15,93,100,10.36,US,1667878781
196,mhlume,-26.0333,31.85,71.2,91,100,5.88,SZ,1667878782
197,tilichiki,60.4667,166.1,17.29,89,100,7.0,RU,1667878782
198,san patricio,28.017,-97.5169,77.07,86,4,10.29,US,1667878783
199,airai,-8.9266,125.4092,76.46,55,76,0.4,TL,1667878783
200,dikson,73.5069,80.5464,6.46,93,98,8.32,RU,1667878783
201,lorengau,-2.0226,147.2712,84.13,74,100,6.04,PG,1667878603
202,yingcheng,30.95,113.55,75.47,34,27,5.01,CN,1667878784
203,hasaki,35.7333,140.8333,72.28,52,0,10.92,JP,1667878595
204,santa maria da boa vista,-8.8078,-39.8256,75.9,73,94,12.1,BR,1667878784
205,korla,41.7597,86.1469,52.25,32,14,4.7,CN,1667878785
206,esperance,-33.8667,121.9,62.49,68,100,16.46,AU,1667878785
207,cantanhede,-3.6333,-44.3767,73.76,97,100,2.86,BR,1667878786
208,antalaha,-14.9003,50.2788,74.35,67,64,5.39,MG,1667878786
209,savonlinna,61.8699,28.88,41.05,100,100,10.36,FI,1667878743
210,dunedin,-45.8742,170.5036,62.01,65,77,10.25,NZ,1667878786
211,batagay,67.6333,134.6333,-2.07,94,100,3.49,RU,1667878787
212,ponferrada,42.5466,-6.5962,54.63,97,91,4.0,ES,1667878787
213,nichinan,31.6,131.3667,69.48,52,3,4.65,JP,1667878788
214,arlit,18.7369,7.3853,69.37,22,30,7.43,NE,1667878788
215,turayf,31.6725,38.6637,52.05,82,0,9.22,SA,1667878788
216,trairi,-3.2778,-39.2689,77.52,72,70,8.32,BR,1667878538
217,miles city,46.4083,-105.8406,32.97,55,0,13.8,US,1667878789
218,arman,59.7,150.1667,21.02,89,98,17.34,RU,1667878789
219,ancud,-41.8697,-73.8203,52.84,95,97,3.24,CL,1667878790
220,leningradskiy,69.3833,178.4167,18.43,90,100,10.02,RU,1667878790
221,vire,48.9167,-0.8333,54.79,85,100,17.56,FR,1667878790
222,cidreira,-30.1811,-50.2056,61.79,80,30,10.31,BR,1667878791
223,vanimo,-2.6741,141.3028,82.09,81,100,1.97,PG,1667878791
224,faanui,-16.4833,-151.75,78.87,73,16,6.53,PF,1667878667
225,mangrol,21.1167,70.1167,81.07,52,0,10.47,IN,1667878792
226,tiksi,71.6872,128.8694,0.43,90,100,17.18,RU,1667878792
227,alice springs,-23.7,133.8833,96.35,13,70,14.97,AU,1667878792
228,auki,-8.7676,160.7034,83.14,74,16,5.75,SB,1667878793
